8.01689E+17,; suka tau jual diri. Hahahahahaa. 😂😂😂,"24 November 2016, 07:27:00",0,,JUALAN,BUKAN,TOTAL
8.01677E+17,''Ni id person jual produk ni...''  Langsung kne delete.,"24 November 2016, 06:39:42",0,,1146,868,2014
8.01682E+17,"“Recovery” Usai Kejadian Tak Enak di Serui, Sriwijaya FC Bidik Kemenangan https://t.co/BggSEagFm2","24 November 2016, 07:02:42",0,,,,
8.01677E+17,"( '̀⌣'́) WMP \=D/ seegger ya,, pokoknya yg punya lemak berlebih, kudu merapat ya... WMP turun 2-4 kg / minggu ya... https://t.co/5TlJqnyg0s","24 November 2016, 06:41:41",0,,,,
8.01686E+17,(3)Pembebasan BPHTB diberikan sebesar 100% kepada WP OP yg memperoleh hak atas tanah/bangunan krn jual beli/pemberian hak baru pertama kali,"24 November 2016, 07:15:07",0,,,,
8.01664E+17,[ TWEET: Together We Enlighten &amp; Enjoy Tafaqquh ]  Adapun aktiviti jual beli adalah perkara biasa bagi manusia... https://t.co/bXE9W3Tiss,"24 November 2016, 05:51:05",0,,,,
8.01656E+17,"[!!!] semua album yg kita jual, Korean Lisence. makanya kita terapkan sistem PO. kita usahakan pengiriman yg cepat &amp; pastinya rapi :)","24 November 2016, 05:15:55",0,,,,
8.01634E+17,[Vemale's Review] ''Dru dan Kisah Lima Kerajaan'' Karya Clara Ng https://t.co/NeKUpug2ti https://t.co/crMag3Shs9,"24 November 2016, 03:49:35",0,,,,
8.01642E+17,@___farrr tengah jual mahal letteww. 👀 Maths kan suka nombor besar2 hahahahajhajahah,"24 November 2016, 04:22:02",0,,,,
8.01687E+17,@__Khairiah07 kucing mu rupanya yang ku tapau aritu. Ish ish. Ku jual dah arah orang. Sorry,"24 November 2016, 07:21:49",0,,,,
8.01683E+17,@_aqilashraf tapi orang jual tu jual yang hidup hidup,"24 November 2016, 07:05:14",0,,,,
8.01665E+17,@_asfaa hi. Kami ada jual stevia. dm for more info 😊,"24 November 2016, 05:55:15",0,,,,
8.01686E+17,@_dikna ijal jual ea?,"24 November 2016, 07:15:10",0,,,,
8.01681E+17,@_MohdHafifi ko pakai tak yg aku bg tu???kalo ko nk membe aku ade jual lg kat malaysia..ko tu mmg dah putih cb nk putih ape lg..haha,"24 November 2016, 06:57:49",0,,,,
8.01686E+17,@_nadhirahfatin kau darah bombay aku kidnap ko jual kat black market 😎 hahaha.. Darah A... Budak baik ni 😏,"24 November 2016, 07:18:49",0,,,,
8.01652E+17,"@_PuS5y kannnn alaa setakat jual maruah apa la sgttt, untuk kucing tersayang kot. Eh","24 November 2016, 05:03:22",0,,,,
8.01664E+17,"@_syfqaakmalAG haha taklahh tapi tulah byk gila org jual baju yg warda pakai dlm shmp tu,pdhal mcm jubah seluar je..benda dh lama ada😑","24 November 2016, 05:47:49",0,,,,
8.01646E+17,@_titihartinah belum ketauan jual tiketnya kapan. 😢,"24 November 2016, 04:37:02",0,,,,
8.01651E+17,@_ysrdn Lepas tu jual dekat aku RM30 satu pls,"24 November 2016, 04:57:19",0,,,,
8.01666E+17,@93Demitanaka hi kami ada jual stevia 😊 dm for more info atau ig https://t.co/JK2y9b4zJK,"24 November 2016, 05:57:51",0,,,,
8.01684E+17,"@aazila14 hahahhaa. Ea ba nnti ak jual,  share jak resepimu tu","24 November 2016, 07:09:23",0,,,,
8.01687E+17,@AdamHazeq_ kalau saya nak jual baju lokal awak nak beli tak?,"24 November 2016, 07:21:51",0,,,,
8.01671E+17,@AdibDee belum la kan esok baru jual.. haha,"24 November 2016, 06:16:37",0,,,,
8.01672E+17,@adihafiz21 buat baru plsss. Amin baru jual motor tu,"24 November 2016, 06:20:08",0,,,,
8.01653E+17,@AdliAmirr sbb sabar lah aku jual Iphone kau,"24 November 2016, 05:06:17",0,,,,
8.01684E+17,@AdlinRidzwan your mom jual baju tudung kind of stuff like that la? Insyaallah nnti free boleh singgah ☺️,"24 November 2016, 07:07:20",0,,,,
8.01648E+17,"@adrizamri but chelsea can make lots money dr that system la.  Ada best facility,  develop,  jual.. Cm moneyball","24 November 2016, 04:46:48",0,,,,
8.01675E+17,@adylacynta sebab jual?,"24 November 2016, 06:31:24",0,,,,
8.01653E+17,"@af_febriant syrt bbn : stnk, bpkb, ktp pemilik baru, kuitansi jual beli dan cek fisik kndaraan","24 November 2016, 05:06:03",0,,,,
8.01657E+17,@ahmadfaisalmj jual kayo boh,"24 November 2016, 05:20:56",0,,,,
8.0169E+17,@ahmadkirin @aniq_muhaimin @IrsyadiRyuu @syafiqzz11 @audishahidan peh gila ah.Nnti leh buat persembahan.So kau nk jual tk album korg kt aku?,"24 November 2016, 07:31:00",0,,,,
8.01656E+17,@aiiieennnn mok cik tuh ta jual dah laa ! kne mintk dkt ajea . ajea duk mna skg ?,"24 November 2016, 05:16:54",0,,,,
8.01636E+17,"@AimiiAliah aah yg goshop jual kuasa sedut dia power, yg cjwowshop tu boleh sedut dan sembur (?)","24 November 2016, 03:56:12",0,,,,
8.01648E+17,@ainrftn @meerasyhda @ainsurayamr jual mahal 🌚,"24 November 2016, 04:44:21",0,,,,
8.01667E+17,@ainulazlin @jemahh98 @nazirulkira kau bukan wardaaa kau mak dah jual nasi kerabu jalan belakang bilion,"24 November 2016, 06:02:11",0,,,,
8.01667E+17,@ainyinnn i never liked epul i always find him annoying. Now even more 😤 hahaha mu tu jual mahallllll lain cite gok haha,"24 November 2016, 06:02:24",0,,,,
8.01687E+17,@aishah1808 aku dh kata pegi jual tisu..kau taknak,"24 November 2016, 07:20:16",0,,,,
8.01638E+17,@aishamofadz jom esok dia jual tiket. 10 am,"24 November 2016, 04:07:49",0,,,,
8.01673E+17,"@Ajak78S bagi juta2, tau2 je half season duit abes. Gaji tak bayar, sponsor tak reach end user sbb tak tau sponsor tu jual apa.","24 November 2016, 06:26:00",0,,,,
8.0165E+17,@Ajim_Froggy lama doh 😅 nk jual balik sbb nk upgrade lain,"24 November 2016, 04:52:06",0,,,,
8.01674E+17,"@akeymdonz hahah, lmbat lagi tu. Tunggu upgrade 1000cc baru jual cc rendah nie 😌","24 November 2016, 06:29:08",0,,,,
8.01663E+17,@aqiesh_p @twt_kecantikan you nak I ada jual. Then kena rajin basuh muka dgn air ais nanti parut hilang,"24 November 2016, 05:45:51",0,,,,
8.01666E+17,@arfasyrf sana ada jual filter dia sekali tak?,"24 November 2016, 05:55:34",0,,,,
8.01633E+17,@Arifyusri9 jual ke?,"24 November 2016, 03:44:51",0,,,,
8.01692E+17,@ArrulGedebug bukanya ini bagaimana pang? Boleh ane jual? Hhhh,"24 November 2016, 07:39:40",0,,,,
8.01669E+17,"@CariProduk @belindabhe hii, aku ada jual https://t.co/pOr5NGkmuU","24 November 2016, 06:08:27",0,,,,
8.0169E+17,@CeritaBekasi punya info ga yg jual grosir alat fitness. Dan daerah bekasi pastinya😆,"24 November 2016, 07:32:59",0,,,,
8.01676E+17,@chahsudah tapi ps4 mana ada orang jual pirate???? game tu by default ori,"24 November 2016, 06:37:33",0,,,,
8.01672E+17,"@chrysalic I see it as a dainty maneuver of chess playing politics. Harga diri= Siapa jual &amp; siapa beli. When all benefitted, do we win?","24 November 2016, 06:21:33",0,,,,
8.01686E+17,@chuckysemiwaras nak jual ke??hahahahahah,"24 November 2016, 07:16:51",0,,,,
8.01643E+17,@DessyDhabita @twt_kecantikan boys and girls can use coffee scrub organic. I guna and i jual. Boleh dm i. Bnyk dah feedback positif 😊,"24 November 2016, 04:27:49",0,,,,
8.01648E+17,@detikcom @syihabrizieq @DPP_FPI @Warta_MUI @nu_online @muhammadiyah @DivHumasPolri @Puspen_TNI @jokowi  mui politik byran&amp;pungli jual halal,"24 November 2016, 04:46:30",0,,,,
8.01673E+17,@DexZamri @aimimumio hahahahah. Function juga daiso jual earphone panjang macam ni,"24 November 2016, 06:25:02",0,,,,
8.01681E+17,@DheaShaherra takpe kita kena cuba jual mahal dgn dia 😂😂😂 tengok je jangan pegang . 😂😂,"24 November 2016, 06:55:22",0,,,,
8.01692E+17,@dhilasofyan tunggu dapet tiketnya dulu aja gue jg kalo dpt tgl 31 yg tgl 1 mau gue jual soalnya gue maunya cat1 😂,"24 November 2016, 07:42:06",0,,,,
8.01674E+17,@Diraaa_Diraaa sama yg jual..  Gimana yg jualnya seksih bener bikin gagal pokuss,"24 November 2016, 06:27:49",0,,,,
8.01659E+17,@Diyanoooo hahaha defak beli jugak? Kalau dpt tiket bangkok jual blk ke sg punya? Dia bukak bulan 16/12,"24 November 2016, 05:28:23",0,,,,
8.01661E+17,@dn_zykrh @ydardvn penbes jual nnti duitnya buat kita makan2 😎😂,"24 November 2016, 05:39:07",0,,,,
8.01682E+17,@Dynosteveo_ jual dekat insta ?,"24 November 2016, 07:01:40",0,,,,
8.01634E+17,@efnsa aku nak jual kek boleh ke?ade event ape tuu,"24 November 2016, 03:48:49",0,,,,
8.01669E+17,@EG_lalisa97 @.ONLYRPE ada transaksi jual.beli dong ya,"24 November 2016, 06:07:31",0,,,,
8.01649E+17,@EG_lalisa97 @EG_JWW96 kita jual aja manusya2 yang masukin kita ke list :(,"24 November 2016, 04:51:11",0,,,,
8.01638E+17,@EG_Pinky98 jangan jual mahal gong bilang ae mau wkwk,"24 November 2016, 04:07:55",0,,,,
8.0165E+17,@EG_Seulgi94 @EG_JWW96 jual kemana? Emang bakal ada yg mau bali wkwk,"24 November 2016, 04:52:48",0,,,,
8.01644E+17,@EG_Winwin97 @EG_Taeyong95 eeee gua jual juga luh 😤😤 taeyong jangan percaya dia dipenuhi wijen (?) sumpahin winwin pas pipis wcnya karatan,"24 November 2016, 04:28:40",0,,,,
8.0167E+17,@elinamalek owh lupe ckp TP beli sayur cleaner jual rm2. Tp dia kata dia byr rm5.  Motippp!?!?!???,"24 November 2016, 06:13:51",0,,,,
8.01668E+17,@elyasuhaizad hahaha. Jual lah. Minggu ni semua buat sale barangan elektrik 😏,"24 November 2016, 06:06:30",0,,,,
8.0166E+17,"@eneneffj @MelurSamad saya rasa untuk playsafe, beli show 31hb sebab ticket puluh ribu lagi. 1hb jual sikit je lagi. Kan? Tapi 31hb jumaat.","24 November 2016, 05:32:32",0,,,,
8.01662E+17,@epahhhhmi aku jadi dropship jual coffee scrub huhuhu,"24 November 2016, 05:40:49",0,,,,
8.01659E+17,"@erlanggahs cek line dek, itu uda costume lama, hanya di jual lagi dek, beberapa yg di jual exclusive skrg abng uda punya kok ~","24 November 2016, 05:28:42",0,,,,
8.01639E+17,@erlitaputranti jual baju,"24 November 2016, 04:08:51",0,,,,
8.0166E+17,"@eunwooow udah udah jan jual mahal opp,,😁😁","24 November 2016, 05:34:38",0,,,,
8.01688E+17,@faaaraahh jual nasik lemak la!,"24 November 2016, 07:25:47",0,,,,
8.01643E+17,@faeez92 esok baru jual.jom la pegi sama,"24 November 2016, 04:24:26",0,,,,
8.01647E+17,@FafaaAnashu tiket jual bile?,"24 November 2016, 04:43:15",0,,,,
8.01684E+17,@faiezaizzaty @nasuhatoilan hantar kat mydin jual,"24 November 2016, 07:10:41",0,,,,
8.01663E+17,@faimusa cha buat cite love u abg jual air,"24 November 2016, 05:43:39",0,,,,
8.01633E+17,@fairuzapandi fuyooo ada jual apa kat sana,"24 November 2016, 03:45:11",0,,,,
8.01652E+17,@fakhxD ada jual cinta ke hahahahahahahahahaha,"24 November 2016, 05:02:31",0,,,,
8.0163E+17,@FarahFarahhmad masyukkkk 😲😲😲 ingt sabun untk perempuan ... jual la bgi perabis huhuhu,"24 November 2016, 03:35:57",0,,,,
8.01638E+17,"@farhanaaazainal jangan kata kat lazada, malaysia memang tak jual. Dah kerja bolehlah kot beli untuk kesayangan","24 November 2016, 04:07:22",0,,,,
8.01676E+17,@Farhanahhhhh_ jual disc 😂,"24 November 2016, 06:35:17",0,,,,
8.01643E+17,@FarisImran39 skang dah ramai dah jual tiket free.,"24 November 2016, 04:27:36",0,,,,
8.01673E+17,@fasihahnazurah_ lai lai aku jual rm1 hahaha,"24 November 2016, 06:25:13",0,,,,
8.01669E+17,"@fathinazean tgh cari page mana yg jual, biasanye tune or ticket pro jadi agent","24 November 2016, 06:08:29",0,,,,
8.01664E+17,@fkhrlrdz_ @TakSentapEh hahahaha. yg tu jual ktku wakakakaka 😂😂,"24 November 2016, 05:49:37",0,,,,
8.01633E+17,@flwroseanne @rosebrandeu @KK97Eunha soncyoung @mellonayeon tukang jual eskrim wkkwkw 😂,"24 November 2016, 03:48:11",0,,,,
8.01637E+17,@FMazlee ada kot jual jual. Aku dah lama tak pegi ahaha. Tg piai dah tak best mcm dulu. Kalau nak jumpa monyet pi lah melawat ehehe,"24 November 2016, 04:03:05",0,,,,
8.01638E+17,@frdssymsdn @syahmisafin damn sial jual gmbr mahal 😂😂,"24 November 2016, 04:07:36",0,,,,
8.01686E+17,@frozensmoothie baju dalem plg oke uniqlo sih... Kalo yg extra warm 150 an? Tp entah di indo jual apa gak.,"24 November 2016, 07:17:58",0,,,,
8.01692E+17,"@FyloJaerim85 biarin aja aku jual, di rumah numpuk. Aku jualin satu""","24 November 2016, 07:39:56",0,,,,
8.0168E+17,@FyloJaerim85 liat ya aku jual,"24 November 2016, 06:53:03",0,,,,
8.01632E+17,"@Gemacan70 yg haram, kafir, najis, munafik di Al Quran dijelaskan semua, belajar yg bener anda jgn kau jual ayat Alloh dgn harga murah","24 November 2016, 03:42:55",0,,,,
8.01679E+17,@GeryIdol jual itu Ka?,"24 November 2016, 06:50:36",0,,,,
8.01648E+17,"@GLX_Suzyy94 jual lah, gak mau rugi saya mah hahaha","24 November 2016, 04:44:21",0,,,,
8.01631E+17,@gracexeunhye hmmm takut ada yg jual lagi yya wkwkwk,"24 November 2016, 03:39:43",0,,,,
8.01682E+17,@HafizRayyan Jual agama untuk kepentingan diri. Untuk Kuasa. U tuk duit.,"24 November 2016, 06:59:35",0,,,,
8.01663E+17,"@halobca kemrin saya habis kena tipu jual beli elektrik, apa kah nomer rek pelaku bisa di blokir, tp beda bank?","24 November 2016, 05:45:22",0,,,,
8.01631E+17,"@harrykajoddy udah resmi, tongkrongin aja websitenya kapan jual","24 November 2016, 03:38:21",0,,,,
8.01685E+17,@HartlanXIII biji... wkwkwk  masih ada yg jual CD nya ga sih?,"24 November 2016, 07:12:56",0,,,,
8.01645E+17,@HasyimHaz sedih gila time sekarang jual makanan tidak berasa dan tidak kena harga. Consumer merana dek terhakis nilai entrepreneur.,"24 November 2016, 04:33:42",0,,,,
8.01646E+17,@hazmanbakar esok bok da gk stat jual. Tp cdak nya main 2 ari. Ko mok pg bila?,"24 November 2016, 04:37:37",0,,,,
8.01679E+17,@helloitzsha jual apa 😋,"24 November 2016, 06:48:48",0,,,,
8.01647E+17,@helloitzsha wuu jual apa??,"24 November 2016, 04:42:19",0,,,,
8.01682E+17,@heymarly hahaha mar tgk kat ig tuuu. Cousin kite jual. Tgk taw taw 😚😚,"24 November 2016, 06:59:40",0,,,,
8.0167E+17,@hildung jual yg tiket mana nya?,"24 November 2016, 06:13:13",0,,,,
8.01658E+17,@hisyammstfa jual ja predator tu haha,"24 November 2016, 05:26:01",0,,,,
8.01689E+17,"@httpseddy haha alahai siannya jual la account dota ko, dpt balik 2k 😂 dia keja nnt aku abiskan duit dia hahah","24 November 2016, 07:28:11",0,,,,
8.01668E+17,@hyde_myself menang gak menang cussss =)))) kalik bisa hoki ada mbak2 jepun yg jual tiket dadakan,"24 November 2016, 06:04:45",0,,,,
